id	parlamentarier_id	stichdatum	in_liste	verguetung_transparent	freigabe_datum	parlamentarier_name	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache
554	315	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Dittli, Josef"	"SR"	"UR"	"FDP"	"RL"	"KVF-SR, NATO-V, OSZE, SGK-SR, SiK-SR"	2015-11-30		"M"	1957-04-11	4151	3052	"de"	"de"
310	315	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Dittli, Josef"	"SR"	"UR"	"FDP"	"RL"	"KVF-SR, NATO-V, OSZE, SGK-SR, SiK-SR"	2015-11-30		"M"	1957-04-11	4151	3052	"de"	"de"
56	315	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Dittli, Josef"	"SR"	"UR"	"FDP"	"RL"	"KVF-SR, NATO-V, OSZE, SGK-SR, SiK-SR"	2015-11-30		"M"	1957-04-11	4151	3052	"de"	"de"
555	278	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Dobler, Marcel"	"NR"	"SG"	"FDP"	"RL"	"SGK-NR"	2015-11-30		"M"	1980-08-29	4190	3070	"de"	"de"
311	278	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Dobler, Marcel"	"NR"	"SG"	"FDP"	"RL"	"SGK-NR"	2015-11-30		"M"	1980-08-29	4190	3070	"de"	"de"
57	278	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Dobler, Marcel"	"NR"	"SG"	"FDP"	"RL"	"SGK-NR"	2015-11-30		"M"	1980-08-29	4190	3070	"de"	"de"
558	341	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Egger, Mike"	"NR"	"SG"	"SVP"	"V"	"UREK-NR"	2019-03-04		"M"	1992-08-02	4229	3130	"de"	"de"
562	223	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Engler, Stefan"	"SR"	"GR"	"CVP"	"M-CEB"	"KVF-SR, RK-SR, SPK-SR, WAK-SR"	2011-12-05		"M"	1960-05-30	4055	2768	"rm"	"de"
317	223	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Engler, Stefan"	"SR"	"GR"	"CVP"	"M-CEB"	"KVF-SR, RK-SR, SPK-SR, WAK-SR"	2011-12-05		"M"	1960-05-30	4055	2768	"rm"	"de"
62	223	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Engler, Stefan"	"SR"	"GR"	"CVP"	"M-CEB"	"KVF-SR, RK-SR, SPK-SR, WAK-SR"	2011-12-05		"M"	1960-05-30	4055	2768	"rm"	"de"
563	75	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Estermann, Yvette"	"NR"	"LU"	"SVP"	"V"	"APK-NR, Bü-NR, GPK-NR"	2007-12-03		"F"	1967-02-26	3876	2679	"sk"	"de"
