Datum,Aktenzeichen
23.05.2011,4A_282/2011
30.03.2012,8C_180/2012
19.03.2010,4A_75/2010
08.03.2010,5D_7/2010
15.04.2008,6B_672/2007
13.06.2007,5A_202/2007
15.02.2016,9C_509/2015
03.03.2014,9C_123/2014
27.03.2012,2C_711/2011
13.02.2009,9C_845/2008
19.12.2012,2C_1245/2012
10.02.2012,2C_710/2011
23.09.2008,6B_763/2008
29.03.2012,2C_294/2012
03.01.2008,5A_757/2007
05.12.2011,4A_697/2011
05.02.2008,5A_756/2007
27.09.2013,1B_304/2013
22.05.2013,1C_646/2012
30.09.2011,9C_704/2011
15.03.2012,4D_14/2012
26.08.2016,8C_524/2016
28.07.2009,4A_291/2009
07.04.2010,8C_127/2010
07.10.2014,9C_682/2014
24.06.2009,9C_390/2009
05.09.2013,1C_68/2013
12.10.2016,5A_642/2016
22.10.2015,6B_940/2015
19.10.2011,8C_496/2011
02.02.2010,1B_16/2010
03.10.2007,5D_91/2007
02.09.2008,5A_528/2008
11.09.2015,5A_693/2015
23.06.2016,6B_98/2015
08.08.2008,8C_281/2008
01.12.2009,1C_203/2009
30.05.2008,4A_457/2007
05.11.2008,2D_88/2008
13.08.2014,6F_14/2014
29.12.2014,6B_1219/2014
28.10.2013,1C_90/2013
20.03.2013,1B_109/2013
22.03.2012,5A_692/2011
05.03.2014,8C_61/2014
23.09.2008,2C_290/2008
12.08.2008,9C_435/2007
23.01.2008,1C_295/2007
06.05.2015,6B_380/2015
24.08.2016,1C_174/2016
29.04.2011,9C_682/2010
28.10.2011,5A_709/2011
05.02.2010,2C_4/2010
25.10.2011,8C_608/2011
10.07.2012,1B_210/2012
17.08.2010,8C_419/2010
28.03.2011,1B_99/2011
12.05.2015,6B_420/2015
06.02.2013,2C_33/2013
31.03.2009,1C_424/2008
28.07.2011,2C_326/2011
22.07.2008,2C_530/2008
30.04.2010,6B_169/2010
08.06.2015,9C_358/2015
26.11.2008,4D_120/2008
04.04.2014,1F_9/2014
27.02.2014,1B_84/2014
01.11.2016,6B_22/2016
07.11.2016,1C_381/2016
23.04.2007,5A_106/2007
17.02.2012,8C_701/2011
06.03.2012,4F_3/2012
22.11.2012,1F_21/2012
19.03.2008,1C_53/2008
03.09.2013,8C_589/2013
13.12.2016,6B_1261/2016
12.12.2016,9C_363/2016
28.10.2013,1C_120/2013
13.02.2015,2F_4/2015
13.12.2016,6B_349/2016
30.06.2011,6B_331/2011
13.06.2012,5A_741/2011
08.06.2012,2C_732/2011
02.07.2010,2C_319/2010
07.09.2011,2E_1/2011
20.11.2008,5A_664/2008
10.03.2010,6B_34/2010
15.12.2008,5A_402/2008
22.02.2012,1B_92/2012
05.04.2012,5A_139/2012
21.05.2012,1C_238/2012
24.03.2010,2C_39/2010
04.07.2013,1C_612/2013
22.04.2016,2C_67/2016
19.11.2009,2C_406/2009
16.03.2010,2C_210/2010
05.04.2016,6B_962/2015
26.06.2014,8C_200/2014
03.08.2010,6B_612/2010
18.01.2010,2C_407/2009
24.03.2014,8C_201/2014
02.09.2008,6B_648/2008
04.06.2009,2C_334/2009
05.02.2008,9C_712/2007
27.02.2008,9C_574/2007
17.08.2012,8C_357/2012
14.08.2008,2C_578/2008
22.06.2010,6B_346/2010
30.04.2010,9C_296/2010
10.06.2011,4A_114/2011
26.09.2012,4A_490/2012
16.07.2012,1C_157/2012
16.10.2012,1B_605/2012
02.09.2008,9C_464/2008
04.07.2012,2C_957/2011
09.03.2011,8C_42/2011
18.02.2013,1B_487/2012
18.03.2010,8C_900/2009
04.05.2010,6B_42/2010
22.10.2008,5A_612/2008
09.03.2011,2C_211/2011
13.05.2009,5A_238/2009
16.07.2009,1C_512/2008
09.09.2008,1B_240/2008
04.02.2008,2C_516/2007
06.04.2009,5A_703/2007
21.11.2007,5A_565/2007
02.02.2016,9C_857/2015
12.10.2012,2C_828/2011
17.11.2009,5A_491/2009
27.11.2009,5A_801/2009
19.12.2007,4A_331/2007
01.11.2012,1B_77/2012
19.04.2013,1C_239/2013
04.06.2007,5A_138/2007
03.09.2007,2D_56/2007
23.05.2014,2C_305/2014
20.01.2016,6B_1333/2015
05.08.2008,6B_458/2008
21.05.2013,1C_490/2013
02.07.2007,6B_187/2007
10.12.2008,8C_976/2008
19.06.2008,5A_88/2008
22.02.2010,6B_156/2010
13.12.2016,5A_472/2015
12.12.2016,2C_625/2016
27.09.2012,9C_780/2012
04.04.2012,4D_91/2011
14.04.2009,9C_1041/2008
13.12.2016,8C_637/2016
23.08.2012,8C_589/2012
29.10.2012,1C_347/2012
30.04.2008,5A_53/2008
25.02.2008,2A.91/2007
26.09.2012,6B_577/2012
23.04.2012,4A_169/2012
06.12.2012,1B_555/2012
03.10.2014,5A_763/2014
03.02.2012,8C_912/2011
28.10.2013,6B_902/2013
28.03.2012,2C_288/2012
26.01.2009,4D_10/2009
19.11.2007,2D_103/2007
03.07.2009,8C_443/2009
17.12.2015,4A_414/2015
15.09.2015,9C_587/2015
18.09.2015,6B_1062/2014
30.04.2012,2C_136/2011
17.10.2014,5A_62/2014
06.05.2012,2C_381/2012
14.04.2015,1B_121/2015
27.04.2015,4D_20/2015
24.10.2011,5D_186/2011
30.07.2009,2D_45/2009
28.03.2013,1C_593/2012
01.11.2016,5A_158/2016
16.12.2010,5D_157/2010
20.12.2012,2C_1102/2012
28.04.2011,2C_420/2010
26.01.2009,4A_601/2008
27.08.2012,2T_4/2012
25.01.2012,1C_36/2012
28.04.2014,6B_1176/2013
23.04.2007,5P.10/2007
12.05.2011,8C_1044/2010
27.07.2012,8C_567/2012
09.12.2016,5A_445/2016
25.02.2016,2F_4/2016
12.12.2016,4A_641/2016
13.12.2016,2C_613/2016
20.06.2011,6B_651/2010
14.12.2009,5A_651/2009
15.04.2010,9C_128/2010
09.03.2012,2E_1/2012
13.09.2012,4F_8/2012
22.05.2008,5A_186/2008
28.09.2012,1C_372/2012
21.03.2007,6B_35/2007
16.12.2008,8C_449/2008
07.04.2015,9C_135/2015
23.02.2010,6B_982/2009
25.06.2009,6B_512/2009
08.08.2008,9C_751/2007
17.05.2010,4D_40/2010
02.03.2007,2C_39/2007
21.03.2007,4C.11/2007
26.05.2008,9C_536/2007
25.10.2011,8C_76/2011
07.08.2008,5A_114/2008
