,Politician,Google Search Results
178,Lilian Studer Ständerat,Ungefähr 9’540 Ergebnisse (0.43 Sekunden) 
179,Gabriela Suter Ständerat,Ungefähr 9’990 Ergebnisse (0.37 Sekunden) 
180,Michael Töngi Ständerat,Ungefähr 4’630 Ergebnisse (0.34 Sekunden) 
181,Aline Trede Ständerat,Ungefähr 5’100 Ergebnisse (0.38 Sekunden) 
182,Mauro Tuena Ständerat,Ungefähr 6’090 Ergebnisse (0.33 Sekunden) 
183,Nadja Umbricht Pieren Ständerat,Ungefähr 11’800 Ergebnisse (0.31 Sekunden) 
184,Susanne Vincenz-Stauffacher Ständerat,Ungefähr 6’330 Ergebnisse (0.49 Sekunden) 
185,Hans-Ueli Vogt Ständerat,Ungefähr 18’100 Ergebnisse (0.43 Sekunden) 
186,Erich von Siebenthal Ständerat,Ungefähr 11’500 Ergebnisse (0.35 Sekunden) 
187,Nicolas Walder Ständerat,Ungefähr 8’100 Ergebnisse (0.38 Sekunden) 
188,Bruno Walliser Ständerat,Ungefähr 21’000 Ergebnisse (0.32 Sekunden) 
189,Beat Walti Ständerat,Ungefähr 8’160 Ergebnisse (0.33 Sekunden) 
190,Flavia Wasserfallen Ständerat,Ungefähr 6’360 Ergebnisse (0.36 Sekunden) 
191,Christian Wasserfallen Ständerat,Ungefähr 16’700 Ergebnisse (0.43 Sekunden) 
192,Laurent Wehrli Ständerat,Ungefähr 4’730 Ergebnisse (0.36 Sekunden) 
193,Manuela Weichelt-Picard Ständerat,Ungefähr 5’970 Ergebnisse (0.35 Sekunden) 
194,Cédric Wermuth Ständerat,Ungefähr 18’600 Ergebnisse (0.31 Sekunden) 
195,Felix Wettstein Ständerat,Ungefähr 9’300 Ergebnisse (0.36 Sekunden) 
196,Céline Widmer Ständerat,Ungefähr 8’330 Ergebnisse (0.35 Sekunden) 
197,Priska Wismer-Felder Ständerat,Ungefähr 2’650 Ergebnisse (0.34 Sekunden) 
198,Walter Wobmann Ständerat,Ungefähr 11’500 Ergebnisse (0.36 Sekunden) 
199,David Zuberbühler Ständerat,Ungefähr 7’020 Ergebnisse (0.37 Sekunden) 
200,Philippe Bauer Ständerat,Ungefähr 19’200 Ergebnisse (0.33 Sekunden) 
201,Elisabeth Baume-Schneider Ständerat,Ungefähr 2’020 Ergebnisse (0.37 Sekunden) 
202,Pirmin Bischof Ständerat,Ungefähr 18’500 Ergebnisse (0.43 Sekunden) 
203,Thierry Burkart Ständerat,Ungefähr 22’300 Ergebnisse (0.34 Sekunden) 
204,Marina Carobbio Guscetti Ständerat,Ungefähr 10’300 Ergebnisse (0.33 Sekunden) 
205,Andrea Caroni Ständerat,Ungefähr 14’900 Ergebnisse (0.45 Sekunden) 
206,Marco Chiesa Ständerat,Ungefähr 20’800 Ergebnisse (0.55 Sekunden) 
207,Josef Dittli Ständerat,Ungefähr 11’100 Ergebnisse (0.43 Sekunden) 
208,Stefan Engler Ständerat,Ungefähr 16’200 Ergebnisse (0.47 Sekunden) 
209,Erich Ettlin Ständerat,Ungefähr 8’600 Ergebnisse (0.37 Sekunden) 
210,Daniel Fässler Ständerat,Ungefähr 15’900 Ergebnisse (0.51 Sekunden) 
211,Olivier Français Ständerat,Ungefähr 9’580 Ergebnisse (0.46 Sekunden) 
212,Johanna Gapany Ständerat,Ungefähr 2’480 Ergebnisse (0.33 Sekunden) 
213,Hannes Germann Ständerat,Ungefähr 17’700 Ergebnisse (0.40 Sekunden) 
214,Andrea Gmür-Schönenberger Ständerat,Ungefähr 6’560 Ergebnisse (0.39 Sekunden) 
215,Maya Graf Ständerat,Ungefähr 23’500 Ergebnisse (0.40 Sekunden) 
216,Brigitte Häberli-Koller Ständerat,Ungefähr 9’990 Ergebnisse (0.43 Sekunden) 
217,Thomas Hefti Ständerat,Ungefähr 12’100 Ergebnisse (0.42 Sekunden) 
218,Peter Hegglin Ständerat,Ungefähr 13’900 Ergebnisse (0.39 Sekunden) 
219,Eva Herzog Ständerat,Ungefähr 14’800 Ergebnisse (0.33 Sekunden) 
220,Daniel Jositsch Ständerat,Ungefähr 25’700 Ergebnisse (0.47 Sekunden) 
221,Charles Juillard Ständerat,Ungefähr 1’830 Ergebnisse (0.45 Sekunden) 
222,Hansjörg Knecht Ständerat,Ungefähr 14’400 Ergebnisse (0.37 Sekunden) 
223,Alex Kuprecht Ständerat,Ungefähr 10’200 Ergebnisse (0.49 Sekunden) 
224,Christian Levrat Ständerat,Ungefähr 24’000 Ergebnisse (0.38 Sekunden) 
225,Marianne Maret Ständerat,Ungefähr 2’530 Ergebnisse (0.40 Sekunden) 
226,Lisa Mazzone Ständerat,Ungefähr 5’390 Ergebnisse (0.38 Sekunden) 
227,Matthias Michel Ständerat,Ungefähr 37’100 Ergebnisse (0.35 Sekunden) 
228,Thomas Minder Ständerat,Ungefähr 34’300 Ergebnisse (0.42 Sekunden) 
229,Damian Müller Ständerat,Ungefähr 34’500 Ergebnisse (0.44 Sekunden) 
230,Ruedi Noser Ständerat,Ungefähr 35’400 Ergebnisse (0.46 Sekunden) 
231,Paul Rechsteiner Ständerat,Ungefähr 41’800 Ergebnisse (0.44 Sekunden) 
232,Othmar Reichmuth Ständerat,Ungefähr 5’350 Ergebnisse (0.41 Sekunden) 
233,Beat Rieder Ständerat,Ungefähr 25’100 Ergebnisse (0.48 Sekunden) 
234,Werner Salzmann Ständerat,Ungefähr 24’000 Ergebnisse (0.41 Sekunden) 
235,Martin Schmid Ständerat,Ungefähr 70’400 Ergebnisse (0.38 Sekunden) 
236,Carlo Sommaruga Ständerat,Ungefähr 16’700 Ergebnisse (0.34 Sekunden) 
237,Jakob Stark Ständerat,Ungefähr 50’000 Ergebnisse (0.32 Sekunden) 
238,Hans Stöckli Ständerat,Ungefähr 37’700 Ergebnisse (0.47 Sekunden) 
239,Adèle Thorens Goumaz Ständerat,Ungefähr 7’400 Ergebnisse (0.41 Sekunden) 
240,Céline Vara Ständerat,Ungefähr 1’370 Ergebnisse (0.41 Sekunden) 
241,Hans Wicki Ständerat,Ungefähr 19’100 Ergebnisse (0.39 Sekunden) 
242,Benedikt Würth Ständerat,Ungefähr 10’800 Ergebnisse (0.41 Sekunden) 
243,Roberto Zanetti Ständerat,Ungefähr 17’400 Ergebnisse (0.45 Sekunden) 
244,Heidi Z'graggen Ständerat,Ungefähr 5’160 Ergebnisse (0.39 Sekunden) 
245,Mathias Zopfi Ständerat,Ungefähr 3’120 Ergebnisse (0.36 Sekunden) 
