Date,ID,URL,Valid Phish
Jan 31 2018 9:47 AM,5456934,https://www.nilesindustrials.com/Shared/,VALID PHISH
Jan 31 2018 9:35 AM,5456892,http://bard.ca/air/wp-includes/js/tinymce/skins/wordpress/images/...,Unknown
Jan 31 2018 8:33 AM,5456838,http://user56823.vs.speednames.com/nxd/sbzs.php...,VALID PHISH
Jan 31 2018 8:32 AM,5456835,http://system-administrator-help-desk.myfreesites.net/...,VALID PHISH
Jan 31 2018 7:58 AM,5456814,https://www.iappleagreements-manageid-locked.passarettipollack.com/...,Unknown
Jan 31 2018 7:58 AM,5456813,https://www.iserver1-securesredirectly-com.pollackinteriors.com/...,Unknown
Jan 31 2018 7:57 AM,5456812,https://www.wafcol.org/system%20admin/review/flntb44bwh7vrntrg4iml2nd....,Unknown
Oct 22 2018 9:23 AM,5822185,http://shadoov2.beget.tech/secure_infos/secure_infos/service/secure_in...,Unknown
Oct 22 2018 8:32 AM,5822119,http://139.59.151.102/412/dca39/E-Banking.htm?https://ebanking-ch1.ubs...,Unknown
Oct 22 2018 7:21 AM,5822087,https://sslgprints.com/wp-includes/ID-3/amazon/...,VALID PHISH
Oct 22 2018 4:26 AM,5821991,https://postfinane.blogspot.com,VALID PHISH
Oct 22 2018 4:25 AM,5821990,http://profile.hostinlt.beget.tech/Postfinance/...,VALID PHISH
Oct 22 2018 4:25 AM,5821989,http://www.embriogyn.com/client/login/96927e38b341d424dff749d25d85feac...,VALID PHISH
Oct 22 2018 4:24 AM,5821988,http://baas.cat/img/proyectos/ch/,VALID PHISH
Oct 21 2018 3:46 PM,5821568,http://68.183.79.110/0,Unknown
Oct 21 2018 3:33 PM,5821545,http://206.189.126.86/5,Unknown
Oct 21 2018 3:33 PM,5821544,https://sicherheitsmailmarkweell.weebly.com/,VALID PHISH
Oct 21 2018 8:26 AM,5821402,http://shadoov1.beget.tech/secure_infos/secure_infos/service/secure_in...,Unknown
Oct 21 2018 8:24 AM,5821401,https://secureclients.ubs.ch.igckuwait.net/OP_VentanaOperativa_INT&===...,VALID PHISH
