:TYPE	id:START_ID(organisation_id)	interessengruppe_id:END_ID(interessengruppe_id)
GEHOERT_ZU	719	63
GEHOERT_ZU	720	59
GEHOERT_ZU	721	59
GEHOERT_ZU	722	59
GEHOERT_ZU	723	59
GEHOERT_ZU	724	59
GEHOERT_ZU	725	59
GEHOERT_ZU	726	59
GEHOERT_ZU	727	108
GEHOERT_ZU	728	91
GEHOERT_ZU	729	51
GEHOERT_ZU	730	3
GEHOERT_ZU	732	78
GEHOERT_ZU	733	15
GEHOERT_ZU	734	42
GEHOERT_ZU	735	42
GEHOERT_ZU	736	19
GEHOERT_ZU	740	48
GEHOERT_ZU	741	12
GEHOERT_ZU	742	2
GEHOERT_ZU	743	30
GEHOERT_ZU	744	57
GEHOERT_ZU	745	2
GEHOERT_ZU	746	2
GEHOERT_ZU	747	2
GEHOERT_ZU	748	15
GEHOERT_ZU	749	18
GEHOERT_ZU	750	57
GEHOERT_ZU	751	33
GEHOERT_ZU	752	33
GEHOERT_ZU	753	33
GEHOERT_ZU	754	103
GEHOERT_ZU	755	58
GEHOERT_ZU	758	29
GEHOERT_ZU	759	51
GEHOERT_ZU	760	5
GEHOERT_ZU	761	83
GEHOERT_ZU	762	29
GEHOERT_ZU	764	29
GEHOERT_ZU	765	12
GEHOERT_ZU	766	35
GEHOERT_ZU	767	29
GEHOERT_ZU	769	27
GEHOERT_ZU	770	26
GEHOERT_ZU	771	12
GEHOERT_ZU	772	18
GEHOERT_ZU	773	3
GEHOERT_ZU	774	104
GEHOERT_ZU	775	104
GEHOERT_ZU	776	104
GEHOERT_ZU	777	16
GEHOERT_ZU	778	68
GEHOERT_ZU	779	35
GEHOERT_ZU	780	26
GEHOERT_ZU	781	46
GEHOERT_ZU	782	92
GEHOERT_ZU	783	31
GEHOERT_ZU	784	31
GEHOERT_ZU	785	85
GEHOERT_ZU	786	83
GEHOERT_ZU	787	92
GEHOERT_ZU	788	4
GEHOERT_ZU	789	58
GEHOERT_ZU	790	58
GEHOERT_ZU	791	52
GEHOERT_ZU	792	19
GEHOERT_ZU	793	66
GEHOERT_ZU	794	20
GEHOERT_ZU	795	87
GEHOERT_ZU	796	103
GEHOERT_ZU	797	18
GEHOERT_ZU	798	41
GEHOERT_ZU	799	18
GEHOERT_ZU	800	20
GEHOERT_ZU	801	111
GEHOERT_ZU	802	38
GEHOERT_ZU	803	38
GEHOERT_ZU	804	19
GEHOERT_ZU	805	35
GEHOERT_ZU	807	33
GEHOERT_ZU	808	20
GEHOERT_ZU	809	35
GEHOERT_ZU	810	126
GEHOERT_ZU	811	60
GEHOERT_ZU	812	27
GEHOERT_ZU	813	41
GEHOERT_ZU	814	41
GEHOERT_ZU	815	33
GEHOERT_ZU	816	51
GEHOERT_ZU	817	13
GEHOERT_ZU	818	117
GEHOERT_ZU	819	123
GEHOERT_ZU	820	107
GEHOERT_ZU	821	19
GEHOERT_ZU	822	19
GEHOERT_ZU	823	19
GEHOERT_ZU	824	56
GEHOERT_ZU	825	63
GEHOERT_ZU	826	60
GEHOERT_ZU	827	70
GEHOERT_ZU	828	51
GEHOERT_ZU	829	46
GEHOERT_ZU	830	27
GEHOERT_ZU	831	57
GEHOERT_ZU	832	50
GEHOERT_ZU	833	108
GEHOERT_ZU	834	108
GEHOERT_ZU	835	133
GEHOERT_ZU	836	33
GEHOERT_ZU	837	78
GEHOERT_ZU	838	108
GEHOERT_ZU	839	87
GEHOERT_ZU	840	129
GEHOERT_ZU	841	107
GEHOERT_ZU	842	19
GEHOERT_ZU	843	10
GEHOERT_ZU	844	5
GEHOERT_ZU	845	92
GEHOERT_ZU	846	42
GEHOERT_ZU	847	44
GEHOERT_ZU	848	78
GEHOERT_ZU	849	29
GEHOERT_ZU	850	74
GEHOERT_ZU	851	78
GEHOERT_ZU	852	18
GEHOERT_ZU	853	44
GEHOERT_ZU	854	100
GEHOERT_ZU	855	57
GEHOERT_ZU	856	29
GEHOERT_ZU	857	131
GEHOERT_ZU	858	12
GEHOERT_ZU	859	16
GEHOERT_ZU	860	32
GEHOERT_ZU	863	91
GEHOERT_ZU	864	4
GEHOERT_ZU	865	54
GEHOERT_ZU	866	54
GEHOERT_ZU	867	33
GEHOERT_ZU	868	72
GEHOERT_ZU	869	72
GEHOERT_ZU	870	10
GEHOERT_ZU	871	10
GEHOERT_ZU	872	3
GEHOERT_ZU	873	29
GEHOERT_ZU	874	29
