:TYPE	id:START_ID(organisation_id)	interessenraum_id:END_ID(interessenraum_id)
HAT_INTERESSENRAUM	662	1
HAT_INTERESSENRAUM	663	1
HAT_INTERESSENRAUM	664	1
HAT_INTERESSENRAUM	665	1
HAT_INTERESSENRAUM	666	5
HAT_INTERESSENRAUM	667	4
HAT_INTERESSENRAUM	668	1
HAT_INTERESSENRAUM	669	1
HAT_INTERESSENRAUM	670	1
HAT_INTERESSENRAUM	671	1
HAT_INTERESSENRAUM	672	1
HAT_INTERESSENRAUM	673	1
HAT_INTERESSENRAUM	674	1
HAT_INTERESSENRAUM	675	1
HAT_INTERESSENRAUM	676	1
HAT_INTERESSENRAUM	677	1
HAT_INTERESSENRAUM	678	1
HAT_INTERESSENRAUM	679	4
HAT_INTERESSENRAUM	680	1
HAT_INTERESSENRAUM	681	2
HAT_INTERESSENRAUM	682	2
HAT_INTERESSENRAUM	683	1
HAT_INTERESSENRAUM	684	1
HAT_INTERESSENRAUM	686	1
HAT_INTERESSENRAUM	687	1
HAT_INTERESSENRAUM	688	1
HAT_INTERESSENRAUM	689	1
HAT_INTERESSENRAUM	690	1
HAT_INTERESSENRAUM	691	1
HAT_INTERESSENRAUM	692	1
HAT_INTERESSENRAUM	693	1
HAT_INTERESSENRAUM	694	1
HAT_INTERESSENRAUM	695	1
HAT_INTERESSENRAUM	696	1
HAT_INTERESSENRAUM	697	1
HAT_INTERESSENRAUM	698	2
HAT_INTERESSENRAUM	699	1
HAT_INTERESSENRAUM	700	1
HAT_INTERESSENRAUM	701	1
HAT_INTERESSENRAUM	702	1
HAT_INTERESSENRAUM	703	1
HAT_INTERESSENRAUM	704	1
HAT_INTERESSENRAUM	705	1
HAT_INTERESSENRAUM	706	1
HAT_INTERESSENRAUM	707	1
HAT_INTERESSENRAUM	708	1
HAT_INTERESSENRAUM	709	1
HAT_INTERESSENRAUM	713	1
HAT_INTERESSENRAUM	714	1
HAT_INTERESSENRAUM	715	1
HAT_INTERESSENRAUM	716	1
HAT_INTERESSENRAUM	717	1
HAT_INTERESSENRAUM	718	1
HAT_INTERESSENRAUM	719	1
HAT_INTERESSENRAUM	720	1
HAT_INTERESSENRAUM	721	1
HAT_INTERESSENRAUM	722	1
HAT_INTERESSENRAUM	723	1
HAT_INTERESSENRAUM	724	1
HAT_INTERESSENRAUM	725	1
HAT_INTERESSENRAUM	726	1
HAT_INTERESSENRAUM	727	1
HAT_INTERESSENRAUM	728	1
HAT_INTERESSENRAUM	729	1
HAT_INTERESSENRAUM	730	1
HAT_INTERESSENRAUM	732	1
HAT_INTERESSENRAUM	733	1
HAT_INTERESSENRAUM	734	1
HAT_INTERESSENRAUM	735	1
HAT_INTERESSENRAUM	736	1
HAT_INTERESSENRAUM	740	1
HAT_INTERESSENRAUM	741	1
HAT_INTERESSENRAUM	742	1
HAT_INTERESSENRAUM	743	1
HAT_INTERESSENRAUM	744	1
HAT_INTERESSENRAUM	745	1
HAT_INTERESSENRAUM	746	1
HAT_INTERESSENRAUM	747	1
HAT_INTERESSENRAUM	748	1
HAT_INTERESSENRAUM	749	1
HAT_INTERESSENRAUM	750	1
HAT_INTERESSENRAUM	751	1
HAT_INTERESSENRAUM	752	1
HAT_INTERESSENRAUM	753	2
HAT_INTERESSENRAUM	754	3
HAT_INTERESSENRAUM	755	2
HAT_INTERESSENRAUM	758	1
HAT_INTERESSENRAUM	759	1
HAT_INTERESSENRAUM	760	2
HAT_INTERESSENRAUM	761	1
HAT_INTERESSENRAUM	762	1
HAT_INTERESSENRAUM	764	2
HAT_INTERESSENRAUM	765	1
HAT_INTERESSENRAUM	766	1
HAT_INTERESSENRAUM	767	2
HAT_INTERESSENRAUM	769	3
HAT_INTERESSENRAUM	770	1
HAT_INTERESSENRAUM	771	1
HAT_INTERESSENRAUM	772	1
HAT_INTERESSENRAUM	773	1
HAT_INTERESSENRAUM	774	4
HAT_INTERESSENRAUM	775	4
HAT_INTERESSENRAUM	776	5
HAT_INTERESSENRAUM	777	2
HAT_INTERESSENRAUM	778	4
HAT_INTERESSENRAUM	779	3
HAT_INTERESSENRAUM	780	1
HAT_INTERESSENRAUM	781	1
HAT_INTERESSENRAUM	782	1
HAT_INTERESSENRAUM	783	1
HAT_INTERESSENRAUM	784	1
HAT_INTERESSENRAUM	785	1
HAT_INTERESSENRAUM	786	1
HAT_INTERESSENRAUM	787	1
HAT_INTERESSENRAUM	788	1
HAT_INTERESSENRAUM	789	1
HAT_INTERESSENRAUM	790	1
HAT_INTERESSENRAUM	791	1
HAT_INTERESSENRAUM	792	1
HAT_INTERESSENRAUM	793	1
HAT_INTERESSENRAUM	794	1
HAT_INTERESSENRAUM	795	1
HAT_INTERESSENRAUM	796	1
HAT_INTERESSENRAUM	797	1
HAT_INTERESSENRAUM	798	1
HAT_INTERESSENRAUM	799	1
HAT_INTERESSENRAUM	800	2
HAT_INTERESSENRAUM	801	1
HAT_INTERESSENRAUM	802	1
HAT_INTERESSENRAUM	803	1
HAT_INTERESSENRAUM	804	2
HAT_INTERESSENRAUM	805	2
HAT_INTERESSENRAUM	807	1
HAT_INTERESSENRAUM	808	2
HAT_INTERESSENRAUM	809	1
HAT_INTERESSENRAUM	810	1
HAT_INTERESSENRAUM	811	1
HAT_INTERESSENRAUM	812	1
HAT_INTERESSENRAUM	813	1
HAT_INTERESSENRAUM	814	1
HAT_INTERESSENRAUM	815	1
HAT_INTERESSENRAUM	816	1
HAT_INTERESSENRAUM	817	1
HAT_INTERESSENRAUM	819	3
HAT_INTERESSENRAUM	820	4
HAT_INTERESSENRAUM	821	1
HAT_INTERESSENRAUM	822	1
HAT_INTERESSENRAUM	824	2
HAT_INTERESSENRAUM	825	3
HAT_INTERESSENRAUM	826	2
HAT_INTERESSENRAUM	827	5
HAT_INTERESSENRAUM	828	4
HAT_INTERESSENRAUM	829	1
HAT_INTERESSENRAUM	830	1
HAT_INTERESSENRAUM	831	5
HAT_INTERESSENRAUM	832	1
HAT_INTERESSENRAUM	833	1
HAT_INTERESSENRAUM	834	1
HAT_INTERESSENRAUM	835	1
HAT_INTERESSENRAUM	836	1
HAT_INTERESSENRAUM	837	1
HAT_INTERESSENRAUM	838	1
HAT_INTERESSENRAUM	839	1
HAT_INTERESSENRAUM	840	1
HAT_INTERESSENRAUM	841	1
HAT_INTERESSENRAUM	842	1
HAT_INTERESSENRAUM	843	1
HAT_INTERESSENRAUM	844	1
HAT_INTERESSENRAUM	845	1
HAT_INTERESSENRAUM	846	1
HAT_INTERESSENRAUM	847	3
HAT_INTERESSENRAUM	848	4
HAT_INTERESSENRAUM	849	3
HAT_INTERESSENRAUM	850	2
HAT_INTERESSENRAUM	851	1
HAT_INTERESSENRAUM	852	1
HAT_INTERESSENRAUM	853	2
HAT_INTERESSENRAUM	854	2
HAT_INTERESSENRAUM	855	1
HAT_INTERESSENRAUM	856	1
HAT_INTERESSENRAUM	857	1
HAT_INTERESSENRAUM	858	1
HAT_INTERESSENRAUM	859	1
HAT_INTERESSENRAUM	860	1
HAT_INTERESSENRAUM	863	4
HAT_INTERESSENRAUM	864	1
HAT_INTERESSENRAUM	865	1
HAT_INTERESSENRAUM	866	1
HAT_INTERESSENRAUM	867	1
HAT_INTERESSENRAUM	868	1
HAT_INTERESSENRAUM	869	1
HAT_INTERESSENRAUM	870	3
HAT_INTERESSENRAUM	871	1
HAT_INTERESSENRAUM	872	1
HAT_INTERESSENRAUM	873	1
HAT_INTERESSENRAUM	874	5
HAT_INTERESSENRAUM	875	1
HAT_INTERESSENRAUM	876	1
HAT_INTERESSENRAUM	877	1
HAT_INTERESSENRAUM	878	2
HAT_INTERESSENRAUM	879	1
HAT_INTERESSENRAUM	880	1
HAT_INTERESSENRAUM	881	1
HAT_INTERESSENRAUM	882	1
HAT_INTERESSENRAUM	883	1
HAT_INTERESSENRAUM	884	2
HAT_INTERESSENRAUM	886	1
HAT_INTERESSENRAUM	887	1
HAT_INTERESSENRAUM	888	1
HAT_INTERESSENRAUM	889	2
HAT_INTERESSENRAUM	890	1
HAT_INTERESSENRAUM	891	2
HAT_INTERESSENRAUM	892	1
HAT_INTERESSENRAUM	893	1
HAT_INTERESSENRAUM	894	1
HAT_INTERESSENRAUM	895	2
HAT_INTERESSENRAUM	896	1
