:TYPE	id:int	interessenbindung_id:int	jahr:int	verguetung:int	beschreibung:string	quelle_url:string	quelle_url_gueltig:int	quelle:string	freigabe_datum:localdatetime	parlamentarier_id:END_ID(parlamentarier_id)	organisation_id:START_ID(organisation_id)
VERGUETED	337	4516	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	4547
VERGUETED	338	2314	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2401
VERGUETED	339	2310	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2397
VERGUETED	340	2311	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2398
VERGUETED	341	2313	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2400
VERGUETED	342	2326	2015	2000	"Honorar"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	44
VERGUETED	343	2318	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2515
VERGUETED	344	2327	2015	353	"Honorar und Spesen"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2521
VERGUETED	345	2322	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2518
VERGUETED	346	2308	2015	500	"Honorar"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2395
VERGUETED	347	2309	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2396
VERGUETED	348	2319	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2516
VERGUETED	349	4580	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	81
VERGUETED	350	2325	2015	150	"Sitzungsentschädigung"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	1892
VERGUETED	351	2316	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	583
VERGUETED	352	2317	2015	950	"Honorar"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	2403
VERGUETED	353	2305	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	538
VERGUETED	354	2307	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	1818
VERGUETED	356	2303	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	1929
VERGUETED	358	852	2015	"0"	"ehrenamtlich"			"PDF Übersicht Mandate Kurt Fluri (Stand 31.12.2015)"	2020-03-24T10:11:20	85	244
VERGUETED	359	2266	2015	"0"	"ehrenamtlich"			"E-Mail Friedl 24.8.2016"	2020-11-21T08:57:03	89	340
VERGUETED	360	3377	2015	"0"	"ehrenamtlich"			"E-Mail Friedl 24.8.2016"	2020-11-21T08:57:03	89	191
VERGUETED	361	4488	2015	"0"	"ehrenamtlich"			"E-Mail Friedl 24.8.2016"	2020-11-21T08:57:03	89	4529
VERGUETED	362	4489	2015	"0"	"ehrenamtlich"			"E-Mail Friedl 24.8.2016"	2020-11-21T08:57:03	89	4530
VERGUETED	363	4493	2015	"0"	"ehrenamtlich"			"E-Mail Friedl 24.8.2016"	2020-11-21T08:57:03	89	604
VERGUETED	364	4492	2015	"0"	"ehrenamtlich"			"E-Mail Friedl 24.8.2016"	2020-11-21T08:57:03	89	4532
VERGUETED	365	4487	2015	"0"	"ehrenamtlich"			"E-Mail Friedl 24.8.2016"	2020-11-21T08:57:03	89	134
VERGUETED	366	4491	2015	"0"	"ehrenamtlich"			"E-Mail Friedl 24.8.2016"	2020-11-21T08:57:03	89	4531
VERGUETED	368	4693	2015	"0"	"ehrenamtlich"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26	98	4565
VERGUETED	369	1009	2015	6000	"Honorar inkl. Spesen und Sitzungsentschädigung"				2020-03-29T18:08:26	98	1354
VERGUETED	370	1251	2015	"0"	"ehrenamtlich"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26	98	1504
VERGUETED	373	4033	2014	9946	"Versteuerte Einkünfte"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26	98	3960
VERGUETED	374	4035	2015	"0"	"ehrenamtlich"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26	98	3962
VERGUETED	375	4699	2015	"0"	"ehrenamtlich"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26	98	4977
VERGUETED	376	1008	2015	3500	"Honorar inkl. Spesen und Sitzungsentschädigung"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26	98	347
VERGUETED	377	2863	2015	"0"	"ehrenamtlich"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26	98	2956
VERGUETED	378	4037	2015	"0"	"ehrenamtlich"			"E-Mail Glättli 23.8.2016"	2020-03-29T18:08:26	98	3963
