Titel,KRNr.,VorlagenNr.,Geschaeftsart,Datum,Direktion,Kommission,Pendent bei,Direktlink,
Zahl der Beisitzenden der Mietgerichte für die Amtsdauer 2020 bis 2026,171/2019,,Vorlage,30.05.2019,Obergericht,Justizkommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a8cd4bfc5cbd46f6bb8b913744358035,
Wahl der Mitglieder der Berufsbildungskommission für die Amtsdauer 2019?2023,,5556,Vorlage,12.06.2019,Bildungsdirektion,Kommission für Bildung und Kultur,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=001e52298fcb44cd965199036ed24cdd,
Eintritt eines neuen Mitglieds des Kantonsrates für Martin Haab,246/2019,,,21.06.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=06abd8a8d4dd4e3d8464a2a5bfd542fb,
Eintritt neues Mitglieds Kantonsrat für Stefanie Pfändler,247/2019,,,21.06.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9cab70cb58a24bb1b928d201b1f834db,
Nachhaltigkeit als Kriterium für das öffentliche Beschaffungswesen,212/2019,,Postulat,24.06.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=fa4abc74429747bc94b50c400ffda937,
Schutz der Bevölkerung vor mutwilligem Strassenlärm,211/2019,,Postulat,24.06.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b0830641a84942ae8254b4c9e03f1f75,
Private Sicherheitsfirmen in der Zürcher Justiz,215/2019,,Anfrage,24.06.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c55d3b56694947f5bc3cb817d6810a48,
Inventarisierung der Denkmalschutzobjekte von Überkommunaler Bedeutung: Schiesst die Baudirektion bei der Inventarüberarbeitung übers Ziel hinaus?,216/2019,,Anfrage,24.06.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7683f7a6adf64783ad086c648b546811,
Wahl Mitglied Steuerrekursgericht (60%) für Marcus Thalmann,207/2019,,Wahl,25.06.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0293a4a1894143f98a40c4f661560be0,
Transparenz bei den Auslandinvestitionen der EKZ,217/2019,,Anfrage,24.06.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c85c9e292b4a4d979c8e9b8837c95ab8,
Erwerb von Liegenschaften im Finanzvermögen ohne Limit?,218/2019,,Anfrage,24.06.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=505611d571294bf6878efd29091a97d2,
Kostenauferlegung für Anfrage gemäss Gemeindegesetz zulässig?,219/2019,,Anfrage,24.06.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4f0418c1b3fc4bf1b1c7fe0092f52817,
Sexualstraftäter und andere gemeingefährliche (StGB 75a Abs. 3) Täter,220/2019,,Anfrage,24.06.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=af1fc731a0814c51ae20337df809b5d3,
Zahlen und Daten zu den Alphabetisierungskursen von Flüchtlingen und vorläufig Aufgenommenen (FL/VA),224/2019,,Anfrage,24.06.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d9c0ae5bcdf84a9e9585d81f844fb1d0,
Finanzierung von Strassenbauten und anderen baulichen Massnahmen entlang von Staatsstrassen,208/2019,,Motion,24.06.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=572ec6ea578c49069ea5641d3c1831d8,
Vorwärts mit der Zürichsee-Uferwegplanung,210/2019,,Dringliches Postulat,24.06.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=243e5d011df44663b6209e721fb72a5d,
Administrative Kosten sind vom Kanton zu tragen,209/2019,,Motion,24.06.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2324904e69424a749652dc8d46e6305f,
Lehren nach Ausbrüchen aus Zürcher Gefängnissen,221/2019,,Anfrage,24.06.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0fec155807f645ae98217a669fa95bf3,
Frauendiskriminierung in der Pensionskasse,222/2019,,Anfrage,24.06.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b77f61c5ee09460ebde91507d81cdb3c,
Gewaltenteilung,223/2019,,Anfrage,24.06.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=6f9b400406cd4d11a655780b0ce191f0,
"Beteiligungen des Kantons und der öffentlich-rechtlichen Anstalten an einfachen Gesellschaften, Stiftungen, etc.",230/2019,,Anfrage,01.07.2019,Staatskanzlei,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=45d3909c53484bc6886257b1cece00de,
Arbeitszeitsaldi beim kantonalen Personal,231/2019,,Anfrage,01.07.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d81ed8a0ac414adf9866dfd3656e32cd,
Umstellung der Buslinien des ZVV auf CO2 arme Antriebstechnik,228/2019,,Anfrage,01.07.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f4f182ff94d449d3a4f04886af307bb4,
Neue partizipative Formen der Demokratie dank Digitalisierung,226/2019,,Postulat,01.07.2019,Direktion der Justiz und des Innern,,Erledigt Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ec1cb99d7447419db4fe42ef7707c845,
Wahl Ersatzmitglied Sozialversicherungsgericht,225/2019,,Wahl,01.07.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7523af26f1f140d1a5c12dd0ba864602,
Leichte Sprache auch auf der kantonalen Verwaltung?,229/2019,,Anfrage,01.07.2019,Staatskanzlei,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=789b4e57b3384f6ba56abb0275f20a75,
Rituelle Gewalt,227/2019,,Anfrage,01.07.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9d0d2a1538b8451b9c26305197894abb,
Nachlasskonkursverfahren,251/2019,,Anfrage,19.08.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=04bd02e137f0438d96597676c3264903,
Verschwinden unsere Billettautomaten? Wegrationalisierung der Billettautomaten?,252/2019,,Anfrage,19.08.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b063c1bb08ad4f46b77a178c37536cce,
Zustand des Zürcher Waldes / Geplante Massnahmen,253/2019,,Anfrage,19.08.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=405e4d5828e34b26aaac25becbfc17c4,
Planvorlage Forchbahn: Sanierung der Bahnübergänge Trichterhauserstrasse und Binzstrasse im Zollikerberg mit Halbschranken,254/2019,,Anfrage,19.08.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=28c0a1aac4d34eaa8e2ca1e412837524,
Rahmenkredit zur Förderung eines klimagerechten Waldbaus,250/2019,,Postulat,19.08.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=63a11eb9cd124f9bb139e6d89ca9e912,
Maximal-Entschädigungen in kantonalen und kantonsnahen Unternehmen,249/2019,,Motion,19.08.2019,Staatskanzlei,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=046f83da6392499f8bceb5301fa4a245,
Unsinnige Änderung des Quellensteuer Melderhythmus,255/2019,,Anfrage,19.08.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f7978bf6f3f6437bb0c6d730f0960961,
Wieso wird der von einer Mehrheit im Kantonsrat ausgerufene Klimanot-stand nicht auch beim öffentlichen Verkehr und insbesondere bei ÖV-Bussen im Kanton Zürich umsetzt?,256/2019,,Anfrage,19.08.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7f86cddb052744228776077eb44df55d,
Tätigkeitsbericht Datenschutzbeauftragter 2018,282/2019,,,23.08.2019,,Geschäftsleitung,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=6559828e32f045648c80555b84b160e7,
Umsetzung der 5. Ferienwoche und Umkleidezeit in der Pflege,268/2019,,Anfrage,26.08.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4c41cbf09a5a4328ac39305a24ab803b,
Demokratiepolitisch fragwürdiges Verhalten,270/2019,,Anfrage,26.08.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=1b78bdee59404145aba9b33725faeae6,
Verfahren Stiefkindadoption für gleichgeschlechtliche Paare ? sind Anpassungen notwendig?,269/2019,,Anfrage,26.08.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=fa399c34426f4f468f5da3be4d9c86b5,
Mobilitätsmanagement beim Kanton,273/2019,,Anfrage,26.08.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=1a1422e7cd344b67ba80e084af776957,
Bekämpfung von invasiven Neophyten auf kantonalen Flächen,272/2019,,Anfrage,26.08.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=fcce84c93fbf462395df32cb86f913e0,
Sicherheit und Betrieb der Einheitswagen IV im S-Bahneinsatz und bei Entlastungszügen (Fernverkehr) im ZVV Gebiet,271/2019,,Anfrage,26.08.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f6149c477bf245888bc2abefec021e4e,
Förderung und Integration von Menschen mit Autismus-Spektrum im Kanton Zürich,275/2019,,Anfrage,26.08.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0eec8fa1e29842339cb380bc0dc493e2,
Pestizide und Nitrat im Trinkwasser,276/2019,,Anfrage,26.08.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=3e39feeb44db41a788a09e7c20a6cc40,
Benötigte Ressourcen und Bauprogramm zur Förderung der Veloinfrastruk-tur und zur Behebung von Schwachstellen gemäss Velonetzplan,277/2019,,Anfrage,26.08.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=3ae65c7839614a2e83c8399a4bd0b76c,
Beschaffung neuer Limmatschiffe,267/2019,,Anfrage,26.08.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f879d4a64f6745f9afd9ffd439f7ec8d,
Standortfindung für Power-to-X (Elektrische Energie zu Wasserstoff oder Gas) Demonstrator Anlage im Kanton Zürich,261/2019,,Postulat,26.08.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c254640d083c46608146130db82f79c3,
Polizeiliche Erfassung von Billigtransporten und Kabotage im Personen- und Güterverkehr im Kanton Zürich,260/2019,,Postulat,26.08.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d487ac121f5f4d3fbeef92f81fb23961,
Nachteilsausgleich an den Kantonalen Mittelschulen,274/2019,,Anfrage,26.08.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ed15787fc21f490ca752a556c0949f18,
Sprachförderung an den Zürcher Gymnasien,262/2019,,Postulat,26.08.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5e4daa939d674a66ba1d4668cc23ec9a,
Stellenwert des dualen Bildungssystems beim Kanton Zürich als Arbeitgeber,279/2019,,Anfrage,26.08.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=63c9876161fe4d31bebf15324c28b67d,
Bewilligungspflicht von Luft-Wasser-Wärmepumpen nur noch im Anzeigeverfahren,257/2019,,Postulat,27.08.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=427b2bd72dd9402582a8ad1e4966272d,
Ressourcenschonenden Umgang mit Papier in der kantonalen Verwaltung wie auch im Ratsbetrieb vom Kantonsrat,278/2019,,Anfrage,26.08.2019,Staatskanzlei,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5f0ad9231bfc4efa895d9512bebc20f5,
"«Ambulant statt stationär» nicht behindern, sondern fördern",265/2019,,Postulat,26.08.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=58d14013f6cd4d09826689fad6c33d0d,
Unterstützung von Biogasanlagen ohne Kosubstrat mit Fördermitteln aus dem Rahmenkredit nach § 16 EnerG,264/2019,,Postulat,26.08.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e2324502a10041849c38d85e8ffc9efc,
Ersatzwahl Mitglied AWU für Stefanie Pfändler,280/2019,,,27.08.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b5699dc2b7bd497ea88de780a48d5e03,
Anpassung des Baustandards bei kantonalen Hochbauprojekten,,5568,Vorlage,21.08.2019,Baudirektion,Kommission für Planung und Bau,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c54f82a5aac648888ed9bb7d68b158d0,
"Rheinfall - wer A sagt, muss auch B sagen",,5567,Vorlage,21.08.2019,Baudirektion,Kommission für Planung und Bau,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=bb94541df20d42e4ba2ec2ee474427a5,
Abrechnung Kredit für den Bau eines Bezirksgebäudes in Dietikon,,5569,Vorlage,21.08.2019,Baudirektion,Kommission für Justiz und öffentliche Sicherheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=22126e6e008e43a5ac413ef62b1eedc6,
Fragen zum Abgang eines Amtschefs,284/2019,,Anfrage,02.09.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=68e2a3e3b0374ee8b0d896576482b09f,
Hilfe im Amazonasgebiet ? Die grüne Lunge der Erde brennt,283/2019,,Anfrage,02.09.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b3adc4f9a41f4aeab3cfae92573ecb16,
Bericht zu den Petitionen des Jugendparlaments,301/2019,,,18.09.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8eefac509b204c9a98c8f23b33c1e79a,
Bewilligung eines Beitrages aus dem Lotteriefonds zugunsten des Vereins Regionale Projektschau Limmattal,,5574,Vorlage,19.09.2019,Finanzdirektion,Finanzkommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=47941a909f9b43b6b43533645c168ccb,
Vorwärtskommen mit Patientenverfügungen,305/2019,,Postulat,23.09.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a4ce05a9d1f64fcd8183085f264204d7,
Multimodales Pendeln fördern,306/2019,,Postulat,23.09.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=dc7ad39e2c5a404fa472a9aa5f50e282,
Asphaltkollektoren auf Zürcher Strassen,304/2019,,Postulat,23.09.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=94e3866f47d54f559c29a1f76950e72e,
First Responder als Grundauftrag der Feuerwehr,302/2019,,Postulat,23.09.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=106a077fe4f84d7db64decd6319ce2af,
Freisemester an Uni Zürich,310/2019,,Anfrage,23.09.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9f8c7016ed7c47c1bad36d5e2549a0d4,
Pestizideinsatz in den Direktionen des Kantons Zürich,311/2019,,Anfrage,23.09.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=205e0a86f4564d58906af12c7d2f04e1,
Leitungswasser statt Mineralwasser in der Kantonalen Verwaltung,303/2019,,Postulat,23.09.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=baefa864840c49cb8be5eef09eb98ea8,
Integrationsagenda,309/2019,,Anfrage,23.09.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=64009f0c10ee47dd972b033569ca944f,
Start-up-Wirtschaftsregion Zürich,,5575,Vorlage,18.09.2019,Volkswirtschaftsdirektion,Kommission für Wirtschaft und Abgaben,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9976f92bd83c4f3cbd09d0559ad1c211,
Beanspruchung Müsli Dietikon,329/2019,,Anfrage,21.10.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=56cf43c6735f4ccc8790731d4e77f9a4,
Klimaangepasste Planung,330/2019,,Anfrage,21.10.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a72af6a615ee4e3bb9c313c4ccea5939,
Ausschreibung der Reinigungsarbeiten in Kantonalen Immobilien,331/2019,,Anfrage,28.10.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f9b6a0f6ce1c4434b40eb1e192b5ea41,
Politische Weiterbildung in einzelnen Regierungsdepartementen,332/2019,,Anfrage,28.10.2019,Staatskanzlei,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=fa27e16d900c4beb822cad59e0ae362c,
Geschlechternachteil an Mittel- und Hochschulen,333/2019,,Anfrage,28.10.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=de77413dfdd048a99d53378fd6315ed0,
"Veloschnellroute Pilotprojekt Uster - Oerlikon, Abschnitt Wallisellen",334/2019,,Anfrage,28.10.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4a2322b6aec44f73b3e6ec86fe229f10,
Erklärungen zum Konsolidierten Entwicklungs- und Finanzplan 2020-2023 (KEF 2020-2023),335/2019,,Bericht,29.10.2019,Staatskanzlei,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c4e3a366d9934d72a9cd4133aeac4d00,
Wahl Vertretung Bildungsrat in der Berufsbildungskommission für die Amtsdauer 2019-2023,,5578,Vorlage,23.10.2019,Bildungsdirektion,Kommission für Bildung und Kultur,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8edd89ce62e24229bfc68cd3aa3eec80,
"Bewilligung eines Objektkredits für die Instandsetzung und Aufwertung des Strassenraums sowie die Radweglückenschliessung, 734 Sulzbacherstrasse und 340 Aathalstrasse in der Stadt Uster",,5579,Vorlage,23.10.2019,Baudirektion,Kommission für Planung und Bau,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f2ec57a5c4214311ad78f1ba0415a211,
Arbeitslosigkeit im Stellenmeldezentrum (SMZ) des Kantons Zürich,337/2019,,Anfrage,04.11.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7c8f1015de254cbaa49497cda18e2016,
Kommunikationsdefizite in der Volkswirtschaftsdirektion,336/2019,,Anfrage,04.11.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c54b710d7af94efba938d36802c95f78,
Steuerausfälle durch Parteispendenabzüge,338/2019,,Anfrage,04.11.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8b0f53a932684ed988daa261c0f0d54b,
Eintritt eines neuen Mitglieds des Kantonsrates für Barbara Schaffner,348/2019,,,05.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0cba59d536074a14b3353aff4b369c01,
Ersatzwahl Mitglied WAK für Judith Bellaiche,359/2019,,,25.11.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=10aacc2c56b04a99939b9ebbfc1a284c,
Wahl Mitglied KEVU für Barbara Schaffner,360/2019,,,25.11.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=788a7eaba2b94027b1cbe1fffd01906e,
Wahl Mitglied KPB für den ausgetretenen Thomas Wirth,361/2019,,,25.11.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=73f2d1b2ef04498bb00f580e97e0cd61,
Ersatzwahl Mitglied STGK für Jörg Mäder,362/2019,,,25.11.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7be7462a46904eefaeabd44c5d7a20ea,
Ersatzwahl Mitglied KJS für Corina Gredig,363/2019,,,25.11.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9d2545004d1f4d07a39de75832975319,
Wahl Ersatzmitglied Sozialversicherungsgericht für die vom 1.7.2019 bis 20.6.2025 befristete Stelle,365/2019,,,25.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8fcedeef2d57408fa85ec2064327f904,
Opferschutz für alle,374/2019,,Anfrage,25.11.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5fa2d7e412ac45ba84ad102072facbb4,
Behindertengerechte Haltestellen im Kanton Zürich,373/2019,,Anfrage,25.11.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a56062dbc57e4fe0bf4b5047ef622b36,
Umkleidezeit ist Arbeitszeit - Umsetzung,371/2019,,Interpellation,09.12.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2f81e3f487dc41578ee3b15350c76ccd,
Restaurative Justiz im Straf- und Massnahmenvollzug,372/2019,,Anfrage,25.11.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=312445a5b8e542399cf395bd796b336c,
"Finanzausgleich, Geldflüsse zwischen Kanton und Stadt Zürich",375/2019,,Anfrage,25.11.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d48701f1e5ba4ba9ab5b7f72498f86cd,
Den Mangel an ökologisch wertvollen Magerwiesen beheben,369/2019,,Postulat,25.11.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2385a1954b444805878b07d8623a71a9,
Behebung von Wanderhindernissen für Wildtiere,368/2019,,Postulat,25.11.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4ea2c09cbf4f45de80023c31ed00a4a6,
Der Kanton Zürich wird zur Blue Community,367/2019,,Postulat,25.11.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2de280cd92e6408490c180be9fb68c3a,
Fakultatives Referendum für Entschädigungen des Kantonsrates,370/2019,,Parlamentarische Initiative,25.11.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=3b0a6a982327479085de535e814610d6,
Volksinitiative Rettet die Zürcher Natur (Natur-Initiative)Natur- und Heimatschutzfondsgesetz (NHFG),,5582,Vorlage,20.11.2019,Baudirektion,Kommission für Planung und Bau,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=6f62dfc76ced477f9e2229c222d33cf6,
Ersatzwahl Mitglied FIKO für Céline Widmer,377/2019,,Wahl,02.12.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=3dc029f5986547e2afedf5fbbd813fb9,
Ersatzwahl Mitglied ABG für Meret Schneider,378/2019,,Wahl,02.12.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=779245b64c5b481d8d5f6c9f3c5ee7d9,
Überhöhte Stickstoffeinträge reduzieren,381/2019,,Postulat,02.12.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=40e0e62a00954effb1bb239d1b1eb2a8,
Jobsharing- und Teilzeit-Professuren an Zürcher Hochschulen,383/2019,,Anfrage,02.12.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c4723ae2e56f4089aebba6334ca3bcfb,
Welches Loch reisst uns der Soziallastenausgleich in die Kantonskasse?,382/2019,,Dringliche Anfrage,02.12.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f3df3def13b44fe1aeb1c326a503cbc5,
Entfernen von Graffiti an Bauwerken der kantonalen Strasseninfrastruktur,384/2019,,Anfrage,02.12.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=34147f4471e140e2844cd7146a2ca1fe,
Unterirdische Linienführung und Verlängerung der Forchbahn (S18) im Stadtgebiet,379/2019,,Postulat,02.12.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=63e6a297e4584b35be0554f8bb824814,
Verlängerung der SZU zur Erschliessung der städtischen Hochschulgebiete,380/2019,,Postulat,02.12.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ea1cc7c7b43641feb5f28b1bc44cdc13,
Dampf im Amt für Justizvollzug ? Rauch in der Direktion der Justiz und des Innern,385/2019,,Anfrage,02.12.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=638da957efef4f68880231bb0b0c337f,
Wahl Ersatzmitglied Obergericht für Ruth Bantli Keller,386/2019,,Wahl,02.12.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9e324464801e445e95aff5db627111fb,
Wahl Ersatzmitglied Obergericht für Judith Haus Stebler,387/2019,,Wahl,02.12.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a8c76ba0690249fe9610e445b5a2b63e,
